2019-03-05 18:51:06,009 [1,1,1,2.2,[640.0726861485107, 874.8356212663383]]
2019-03-05 18:51:06,009 [[0,0.0,6.000000000000002]]
2019-03-05 18:51:06,009 [[1,228.02739797883075,460.5158176721223]]
2019-03-05 18:51:06,009 [[2,176.91516490100463,332.942452296021]]
2019-03-05 18:51:06,009 [[3,400.38038416561943,830.0091255955468]]
2019-03-05 18:51:06,009 [[4,194.77563943795843,267.8501071321859]]
2019-03-05 18:51:06,009 [[5,440.5693647355446,764.9129537983897]]
2019-03-05 18:51:06,009 [[6,359.87905214456094,602.2858090248775]]
2019-03-05 18:51:06,009 [[7,571.3554772902155,1111.5952822652127]]
2019-03-05 18:53:42,686 [Configuration:]
2019-03-05 18:53:42,686 [0,0,0,2.0,[0.0, 6.000000000000002]]
2019-03-05 18:53:42,686 [0,0,0,2.1,[0.0, 6.000000000000002]]
2019-03-05 18:53:42,686 [0,0,0,2.2,[0.0, 6.000000000000002]]
2019-03-05 18:53:42,686 [1,0,0,2.0,[227.91229277985585, 483.1653008077325]]
2019-03-05 18:53:42,686 [1,0,0,2.1,[205.05145546185906, 449.3447973481987]]
